id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2321960,Metro,"1% Chocolate Milk, UltraPur",1.5l,Lactantia,5.49,$0.37 /100ml,0.37
2321961,Metro,"Lactose-Free 1% Chocolate Protein Milk, Plus",2l,Natrel,7.59,$0.38 /100ml,0.38
2322066,Metro,Evaporated Milk,354ml,Carnation,2.79,$0.79 /100ml,0.79
2322266,Metro,Milk Chocolate 50 Calories Instant Dessert Mix,38g,Dr. Oetker,2.99,$7.87 /100g,7.87
2322302,Metro,"Milk Chocolate Flavoured Frosting, Creamy Deluxe",450g,Betty Crocker,2.49,$0.55 /100g,0.55
2322430,Metro,"Milk Chocolate Mousse Instant Dessert Mix, Shirriff",87g,Dr. Oetker,2.99,$3.44 /100g,3.44
2322508,Metro,"Milk Chocolate Chips, Chipits",835g,Hershey's,15.99,$1.91 /100g,1.91
2322562,Metro,Sweetened Condensed Milk,300ml,Cedar,3.79,$1.26 /100ml,1.26
2322594,Metro,Instant Skim Milk Powder,500g,Life Smart,9.49,$1.90 /100g,1.9
2322865,Metro,Buttermilk Pancake Mix,500g,Jakeman's,4.99,$1.00 /100g,1.0
2322882,Metro,Low-Fat Sweetened Condensed Milk,300ml,Eagle Brand,3.79,$1.26 /100ml,1.26
2322908,Metro,Sweetened Condensed Milk,300ml,Eagle Brand,3.79,$1.26 /100ml,1.26
2322910,Metro,Fat-Free Evaporated Skim Milk,354ml,Carnation,2.79,$0.79 /100ml,0.79
2322936,Metro,Buttermilk Flavoured Protein Pancake And Waffle Mix,430g,Flourish,12.99,$3.02 /100g,3.02
2323965,Metro,Buttermilk Pancake And Waffle Mix,680g,Bob's Red Mill,6.49,$0.95 /100g,0.95
2324221,Metro,"Milk Chocolate Chips, Chipits",250g,Hershey's,4.49,$1.80 /100g,1.8
2324345,Metro,Buttermilk Complete Pancake Mix,905g,Pearl Milling Company,4.99,$0.55 /100g,0.55
2324367,Metro,Evaporated Milk,354ml,Selection,1.99,$0.56 /100ml,0.56
2324382,Metro,2% Evaporated Partly Skimmed Milk,354ml,Carnation,2.79,$0.79 /100ml,0.79
2324390,Metro,Buttermilk Pancake Or Waffle Mix,905g,Pearl Milling Company,4.99,$0.55 /100g,0.55
2324637,Metro,Coconut Milk,400ml,Casablanca,1.49,$0.37 /100ml,0.37
2325266,Metro,Coconut Milk,400ml,Grace,1.99,$0.50 /100ml,0.5
2325288,Metro,Sweetened Condensed Milk,300ml,Selection,3.99,$1.33 /100ml,1.33
2325303,Metro,Buttermilk Pancake And Waffle Mix,1kg,Selection,4.49,$0.50 /100g,0.5
2325881,Metro,High-Protein Chocolate Flavoured Lactose-Free Milkshake,414ml,Core Power,4.99,$1.21 /100ml,1.21
2325977,Metro,Chocolate Milk Powder Mix With Less Sugar,540g,Nestlé,7.99,$1.48 /100g,1.48
2326077,Metro,High-Protein Vanilla Flavoured Lactose-Free Milkshake,414ml,Core Power,4.99,$1.21 /100ml,1.21
2326104,Metro,High-Protein Strawberry Banana Lactose-Free Milkshake,414ml,Core Power,4.99,$1.21 /100ml,1.21
2326170,Metro,Chocolate High Protein Milkshake,460ml,BFIT,3.99,$0.87 /100ml,0.87
2326486,Metro,High-Protein Banana Flavoured Lactose-Free Milkshake,414ml,Core Power,4.99,$1.21 /100ml,1.21
2326580,Metro,Vanilla High Protein Milkshake,460ml,BFIT,3.99,$0.87 /100ml,0.87
2327715,Metro,"Vanilla Flavoured Unsweetened Almond Milk, Almond Br...",1.89l,Blue Diamond,5.29,$0.28 /100ml,0.28
2327777,Metro,"Original Unsweetened Almond Milk, Almond Breeze",1.89l,Blue Diamond,5.29,$0.28 /100ml,0.28
2328363,Metro,Milk Chocolate Tea Cake,144g,Tunnock's,2.99,$2.08 /100g,2.08
2328424,Metro,Swiss Milk Chocolate With Honey And Almond Nougat,100g,Toblerone,3.49,$3.49 /100g,3.49
2328433,Metro,"Milk Chocolate Truffles, Lindor",150g,Lindt,7.99,$5.33 /100g,5.33
2328532,Metro,Milk Chocolate With Whole Almonds,100g,Ritter Sport,3.99,$3.99 /100g,3.99
2328533,Metro,Milk Chocolate With Raisins & Hazelnuts,100g,Ritter Sport,3.99,$3.99 /100g,3.99
2328540,Metro,Milk Chocolate With Whole Hazelnuts,100g,Ritter Sport,3.99,$3.99 /100g,3.99
2328566,Metro,Milk Chocolate Covered Wafers With Milky Hazelnut Fi...,43g,Kinder Bueno,1.79,$4.16 /100g,4.16
2328621,Metro,Celebration Size Milk Chocolate Candies With Peanuts,800g,M&M's,14.99,$1.87 /100g,1.87
2328631,Metro,"Christmas Milk Chocolate, Kisses",180g,Hershey's,4.99,$2.77 /100g,2.77
2328656,Metro,Chewy Caramel And Nut Granola Bars Coated With Milk ...,18 bars,Selection,7.49,$1.21 /100g,1.21
2328736,Metro,Milk Chocolate With Cornflakes,100g,Ritter Sport,3.99,$3.99 /100g,3.99
2328769,Metro,"Milk Chocolate Bar, Dairy Milk",100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2328772,Metro,"Hazelnut Milk Chocolate Bites, Baci",150g,Perugina,9.99,$6.66 /100g,6.66
2328776,Metro,Celebration Size Milk Chocolate Candies,800g,M&M's,14.99,$1.87 /100g,1.87
2328781,Metro,No Sugar Added Milk Chocolate Bar,100g,Lindt,2/$12.00,$6.00 /100g,6.0
2328797,Metro,"Hazelnut Milk Chocolate Bar, Dairy Milk",100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2328823,Metro,"Smooth Vanilla Cream Chocolate Bar, Dairy Milk",100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2328847,Metro,Swiss Milk Chocolate Bar With Hazelnut,300g,Irrésistible,6.99,$2.33 /100g,2.33
2328914,Metro,Milk Chocolate Caramel Bar,138g,Ghirardelli,2/$8.00,$2.90 /100g,2.9
2328941,Metro,Milk Chocolate Chip Buttery Bite-Sized Shortbread Co...,140g,Cookie it Up,6.49,$4.64 /100g,4.64
2328963,Metro,Milk Chocolate With Milk Filling Bar,21g,Kinder,1.79,$8.52 /100g,8.52
2329001,Metro,Alpine Milk Chocolate,100g,Ritter Sport,3.99,$3.99 /100g,3.99
